iter	Passed	Remaining
403	10170	2416
404	10196	2391
405	10222	2366
406	10248	2341
407	10272	2316
408	10295	2290
409	10320	2265
410	10347	2240
411	10370	2215
412	10393	2189
413	10415	2163
414	10438	2138
415	10462	2112
416	10486	2087
417	10510	2061
418	10536	2036
419	10559	2011
420	10585	1986
421	10612	1961
422	10638	1936
423	10663	1911
424	10690	1886
425	10717	1861
426	10744	1836
427	10770	1811
428	10793	1786
429	10817	1760
430	10840	1735
431	10864	1710
432	10893	1685
433	10919	1660
434	10946	1635
435	10973	1610
436	11000	1585
437	11025	1560
438	11048	1535
439	11071	1509
440	11094	1484
441	11117	1458
442	11140	1433
443	11165	1408
444	11193	1383
445	11219	1358
446	11246	1333
447	11272	1308
448	11299	1283
449	11325	1258
450	11355	1233
451	11380	1208
452	11404	1183
453	11427	1157
454	11450	1132
455	11472	1107
456	11496	1081
457	11519	1056
458	11542	1031
459	11571	1006
460	11598	981
461	11624	956
462	11647	930
463	11673	905
464	11701	880
465	11728	855
466	11755	830
467	11782	805
468	11809	780
469	11835	755
470	11861	730
471	11886	705
472	11910	679
473	11934	654
474	11962	629
475	11988	604
476	12014	579
477	12039	554
478	12064	528
479	12089	503
480	12112	478
481	12138	453
482	12162	428
483	12187	402
484	12213	377
485	12240	352
486	12267	327
487	12293	302
488	12319	277
489	12343	251
490	12371	226
491	12398	201
492	12424	176
493	12450	151
494	12476	126
495	12500	100
496	12525	75
497	12550	50
498	12573	25
499	12596	0
